,"(0, 0, 0)","(-0.1, 0, 0.1)","(-0.1, 0.1, 0)","(0.1, 0, -0.1)","(0.1, -0.1, 0)","(-0.1, 0.05, 0.05)","(0.1, -0.05, -0.05)","(0.05, -0.1, 0.05)","(-0.05, 0.1, -0.05)","(0.05, 0.05, -0.1)","(-0.05, -0.05, 0.1)"
25,-454.93304674418926,-454.9497887383278,-454.94827863343056,-454.9370081691018,-454.9454856921172,-454.94173618411463,-454.94508068427126,-454.9474299612124,-454.94420454762087,-454.94506212862336,-454.9401139680698
26,-578.3137291507169,-578.323983417386,-578.3216726556307,-578.3214499706837,-578.3109374038193,-578.3068018518877,-578.3047623404542,-578.3040210741249,-578.3193969130507,-578.3113685338087,-578.2974621765328
27,-647.4471334099458,-647.453344287014,-647.4604183760764,-647.4502269093578,-647.4538703798952,-647.4570659185367,-647.4695961259337,-647.4505429214403,-647.4508984907882,-647.455321263092,-647.4596460550681
28,-571.6714357354294,-571.6706892221796,-571.670083635089,-571.6644088935864,-571.659323502189,-571.6691660095944,-571.6701659785934,-571.669602467791,-571.6634580329243,-571.6786528211052,-571.6548813330462
29,-615.8776564650283,-615.8818477990906,-615.8804161988107,-615.8738752326874,-615.8768946118975,-615.8689363090823,-615.8615333097509,-615.8788772001856,-615.8712386306091,-615.884655214758,-615.8648571253905
30,-759.5213037059061,-759.5255021756225,-759.5132222140193,-759.5066131900443,-759.5166712885439,-759.5350212337137,-759.5115977468529,-759.4985862054364,-759.5252735553615,-759.5098331634172,-759.5146286745463
31,-1028.0077288352536,-1028.0081842276386,-1028.010270387773,-1028.0105049119552,-1028.0024780042663,-1028.0037929830178,-1028.0017490201699,-1028.0174586913959,-1028.00207421515,-1028.012096390803,-1028.0108618592349
32,-692.080059993945,-692.0874722112367,-692.0795551482963,-692.0820927391312,-692.0743114024323,-692.0894006687065,-692.0879254730901,-692.0856425855116,-692.0917771876163,-692.0900545384918,-692.0864762552635
33,-694.2004196445133,-694.1887027343977,-694.175720807443,-694.1743884565022,-694.1844768045328,-694.199906300748,-694.181441814188,-694.2000552125994,-694.1775929589907,-694.1913173712737,-694.1869862768535
34,-608.3181798513938,-608.3262766015546,-608.3303574406432,-608.3225320077183,-608.3230141306749,-608.3265550707845,-608.3252543168353,-608.3232547352378,-608.3281552710698,-608.3354963866777,-608.3179510777388
35,-556.2265837506257,-556.2271149229348,-556.2474209000596,-556.2397130731875,-556.2368701078012,-556.2414276357567,-556.2334769593775,-556.2404786067348,-556.235927042268,-556.23175980475,-556.2259588472011
36,-538.215688158783,-538.2165454047106,-538.2192795098631,-538.2166561143785,-538.2196826757231,-538.2192269414884,-538.2193964988745,-538.2212405741416,-538.2203523065917,-538.2220005251344,-538.2194552725515
37,-374.1486111305753,-374.15154749444116,-374.14977807440664,-374.14839718120686,-374.15029668960494,-374.1502485862285,-374.1518208360093,-374.1504875321384,-374.1498513588913,-374.14989283944595,-374.1502435934032
38,13.486897864645572,13.525186574833539,13.464426842644464,13.525099949652187,13.52479920042238,13.525144923238292,13.461716196190043,13.515657245130285,13.525150659417895,13.524749494133925,13.524885613673874
39,-201.45897123707283,-201.46049974278884,-201.45679948243344,-201.46038759853832,-201.45880832220817,-201.46040991853897,-201.459416118836,-201.45876564360924,-201.4591011788098,-201.45762725813645,-201.45769761790353
40,-140.00392877896422,-140.0043103078607,-140.00391827166072,-140.00391913999675,-140.00338838557872,-140.00391145057534,-140.00391084415094,-140.00391379676336,-140.00417322628067,-140.00390709686548,-140.003909695066
41,61.30501897557329,61.53233815201412,61.71711930154191,61.72795118783558,61.54693566262267,61.78829674989947,57.92614475227568,61.66328457983903,61.72787870290476,61.3055756788095,61.78065487414574
42,342.106745646272,341.7689355432982,341.77221895236187,342.10522596448004,331.6009221788039,342.44116357371365,342.35646770624624,337.09052038302707,339.55901650810904,341.1001741192616,342.2737256178174
43,387.2771878711534,390.22309659563257,390.098719108346,388.7952332162515,292.7449700233061,390.2313178319456,389.5286959552383,389.5640910276253,389.5222943901174,390.32662669774186,388.6707086456662
44,565.6451252340227,646.2934848432542,643.9263700577787,646.3671466411085,645.0090722026141,641.1481284784284,646.4515716963756,646.2746593670572,645.8201991281901,645.1849448596597,636.1080430316638
45,920.6586753592267,913.6251303241309,920.6560802868139,913.689831178767,920.426901529996,920.6453129278292,920.8846643432855,920.8283985532054,913.6691395711723,919.9842098734687,920.4341384339263
46,999.9016418895358,995.9793512810725,999.6464312117077,997.9487050231,998.9251734693541,997.9445126507803,999.4123503890853,937.1436615159338,991.7361012600745,984.2781431609043,998.9251239475975
47,687.210225201989,684.493818894825,681.8324454399371,676.47256542927,681.7187951209887,686.4097819932891,687.1251834953285,681.8413470304215,686.8743674162924,676.0009428217913,681.8243388551087
48,975.5820522902713,973.6728493331173,976.536631551716,969.5768552901275,977.4835475329977,975.5544979073073,977.4912159190335,975.5762357253885,976.5363898244457,977.487442038291,977.0139039810813
49,1076.4697972723839,1072.2648348476005,1075.9409481198732,1074.3654282602579,1075.3956522806498,1072.264303102943,1072.2627702106129,1076.2050938537545,1059.6499492241928,1059.6499539654978,1076.4676920438178
50,1407.454433242357,1406.7637065505926,1406.0799347933967,1384.8744357541318,1406.7670915328886,1406.0798375593083,1401.6102189677508,1404.6569773120837,1407.3672582134068,1406.766900973856,1401.9565455769866
51,1359.7337736867769,1360.5755041233347,1318.0439079733499,1359.870939628853,1355.2606968807966,1359.9110576135456,1359.2468003932647,1355.2556579200975,1318.0574599063639,1359.9108317261994,1360.4923517671805
52,2352.5172397468136,2336.197284125814,2354.8168659181792,2345.405766454219,2353.6519549120057,2354.5290826195337,2318.022769086051,2352.488350437328,2354.2419184725195,2352.501412884686,2353.578042863064
53,1702.901247121314,1702.069334919853,1702.0620074891444,1702.6894555787221,1699.575255754793,1699.4565734580824,1689.5935470274437,1689.5206533254568,1702.4851378650985,1699.5750973049253,1701.1142880196435
54,1991.3953349816552,1995.5349411525856,1997.4615524117767,1983.3437218200243,1998.4706055842184,1968.2054845311543,1999.446947577082,1999.3249110054207,1998.4339637076291,1997.4943561723808,1991.6366038749065
55,2054.890215861784,2048.87162430296,1992.628089266384,2048.871608164947,2056.7804140205662,2052.884882976662,2056.8404807676225,2052.8890189320246,2023.1430284789349,2056.9064158659457,2054.8446925754974
56,1970.7849873054893,1975.3231174191549,1977.2782988831705,1977.2821343238975,1963.751949469934,1946.706461952453,1971.483643288309,1963.7488463697623,1979.2149616711981,1971.1021395866105,1979.0941593588755
57,1676.7745232176887,1676.7811696900144,1732.6738756794866,1788.5665869255472,1781.5787900271225,1788.5628315940407,1788.348075239278,1788.1111848434643,1788.457412862574,1774.5929109430508,1781.579974587673
58,1647.8287383850147,1647.0127917812902,1622.080768253537,1647.02410784536,1641.3912574299866,1646.2156545774951,1634.9550388864482,1644.5018742222387,1644.6099904621265,1646.218462886729,1644.610322642482
59,1338.6740131774286,1318.4019916601692,1339.1598852860848,1338.0212376517452,1338.6743935654767,1338.0212126643921,1328.8463415375497,1339.0021309241047,1339.3291912943732,1328.8589108897668,1338.6624223620904
60,1486.2436914046261,1480.2356145245838,1463.0211337264288,1486.1529676102432,1474.61657786987,1485.5086853457544,1300.332876234902,1485.492779808832,1439.793216127095,1483.3370972581456,1462.5964164662892
61,1594.3472792777247,1700.221879322657,1698.976088764126,1698.8823718101016,1693.9846211889276,1700.4189810525284,1674.0405758795082,1700.637099891852,1674.0646178443797,1698.9718080288476,1698.9667573053214
62,1736.8892876493362,1737.005788528344,1628.396947711955,1709.8570247499129,1736.8996837879342,1519.8800617075585,1735.309360434567,1709.8433881356987,1736.8994598870252,1736.5781843039615,1736.581638437577
63,1686.812092492597,1685.5773427503348,1660.722436469965,1680.634273237146,1687.0190634164574,1687.2250235454735,1680.629521582593,1683.914414896939,1581.7026310710216,1674.03472385563,1680.0072166771797
64,1549.7417694272917,1548.213113951078,1546.713870513226,1548.223188999446,1549.3631601347793,1452.8829088375592,1356.0238756340755,1525.5270529261338,1537.5663565245518,1548.9736309023247,1548.228341632389
