Date,SPY,AGG,GLD
2005-05-12,81.2442626953125,57.512237548828125,42.15999984741211
2005-05-13,81.08306884765625,57.568511962890625,41.95000076293945
2005-05-16,81.8398208618164,57.484066009521484,41.880001068115234
2005-05-17,82.38634490966797,57.55164337158203,41.86000061035156
2005-05-18,83.2341537475586,57.70360565185547,42.04999923706055
2005-05-19,83.58453369140625,57.56291198730469,41.97999954223633
2005-05-20,83.46540069580078,57.495304107666016,41.650001525878906
2005-05-23,83.9278564453125,57.6867790222168,41.619998931884766
2005-05-24,83.73168182373047,57.78810119628906,41.72999954223633
2005-05-25,83.66860961914062,57.7768440246582,41.869998931884766
2005-05-26,84.1170425415039,57.77119827270508,41.689998626708984
2005-05-27,84.25718688964844,57.73180389404297,41.880001068115234
2005-05-31,83.71765899658203,57.88939666748047,41.650001525878906
